,abbreviation
LOUISIANA-LAFAYETTE,LOUISIANA-LAFAYETTE
LOUISIANA-MONROE,LOUISIANA-MONROE
LOUISIANA-STATE,LOUISIANA-STATE
LOUISIANA-TECH,LOUISIANA-TECH
LOUISVILLE,LOUISVILLE
LOYOLA-IL,LOYOLA-IL
LOYOLA-MARYMOUNT,LOYOLA-MARYMOUNT
LOYOLA-MD,LOYOLA-MD
MAINE,MAINE
MANHATTAN,MANHATTAN
MARIST,MARIST
MARQUETTE,MARQUETTE
MARSHALL,MARSHALL
MARYLAND-BALTIMORE-COUNTY,MARYLAND-BALTIMORE-COUNTY
MARYLAND-EASTERN-SHORE,MARYLAND-EASTERN-SHORE
MARYLAND,MARYLAND
MASSACHUSETTS-LOWELL,MASSACHUSETTS-LOWELL
MASSACHUSETTS,MASSACHUSETTS
MCNEESE-STATE,MCNEESE-STATE
MEMPHIS,MEMPHIS
MERCER,MERCER
MERRIMACK,MERRIMACK
MIAMI-FL,MIAMI-FL
MIAMI-OH,MIAMI-OH
MICHIGAN-STATE,MICHIGAN-STATE
MICHIGAN,MICHIGAN
MIDDLE-TENNESSEE,MIDDLE-TENNESSEE
MILWAUKEE,MILWAUKEE
MINNESOTA,MINNESOTA
MISSISSIPPI-STATE,MISSISSIPPI-STATE
MISSISSIPPI-VALLEY-STATE,MISSISSIPPI-VALLEY-STATE
MISSISSIPPI,MISSISSIPPI
MISSOURI-KANSAS-CITY,MISSOURI-KANSAS-CITY
MISSOURI-STATE,MISSOURI-STATE
MISSOURI,MISSOURI
MONMOUTH,MONMOUTH
MONTANA-STATE,MONTANA-STATE
MONTANA,MONTANA
MOREHEAD-STATE,MOREHEAD-STATE
MORGAN-STATE,MORGAN-STATE
MOUNT-ST-MARYS,MOUNT-ST-MARYS
MURRAY-STATE,MURRAY-STATE
NAVY,NAVY
NEBRASKA-OMAHA,NEBRASKA-OMAHA
NEBRASKA,NEBRASKA
NEVADA-LAS-VEGAS,NEVADA-LAS-VEGAS
NEVADA,NEVADA
NEW-HAMPSHIRE,NEW-HAMPSHIRE
NEW-MEXICO-STATE,NEW-MEXICO-STATE
NEW-MEXICO,NEW-MEXICO
NEW-ORLEANS,NEW-ORLEANS
NIAGARA,NIAGARA
NICHOLLS-STATE,NICHOLLS-STATE
NJIT,NJIT
NORFOLK-STATE,NORFOLK-STATE
NORTH-ALABAMA,NORTH-ALABAMA
NORTH-CAROLINA-ASHEVILLE,NORTH-CAROLINA-ASHEVILLE
NORTH-CAROLINA-AT,NORTH-CAROLINA-AT
NORTH-CAROLINA-CENTRAL,NORTH-CAROLINA-CENTRAL
NORTH-CAROLINA-GREENSBORO,NORTH-CAROLINA-GREENSBORO
NORTH-CAROLINA-STATE,NORTH-CAROLINA-STATE
NORTH-CAROLINA-WILMINGTON,NORTH-CAROLINA-WILMINGTON
NORTH-CAROLINA,NORTH-CAROLINA
NORTH-DAKOTA-STATE,NORTH-DAKOTA-STATE
NORTH-DAKOTA,NORTH-DAKOTA
NORTH-FLORIDA,NORTH-FLORIDA
NORTH-TEXAS,NORTH-TEXAS
NORTHEASTERN,NORTHEASTERN
NORTHERN-ARIZONA,NORTHERN-ARIZONA
NORTHERN-COLORADO,NORTHERN-COLORADO
NORTHERN-ILLINOIS,NORTHERN-ILLINOIS
NORTHERN-IOWA,NORTHERN-IOWA
NORTHERN-KENTUCKY,NORTHERN-KENTUCKY
NORTHWESTERN-STATE,NORTHWESTERN-STATE
NORTHWESTERN,NORTHWESTERN
NOTRE-DAME,NOTRE-DAME
OAKLAND,OAKLAND
OHIO-STATE,OHIO-STATE
OHIO,OHIO
OKLAHOMA-STATE,OKLAHOMA-STATE
OKLAHOMA,OKLAHOMA
OLD-DOMINION,OLD-DOMINION
ORAL-ROBERTS,ORAL-ROBERTS
OREGON-STATE,OREGON-STATE
OREGON,OREGON
PACIFIC,PACIFIC
PENN-STATE,PENN-STATE
PENNSYLVANIA,PENNSYLVANIA
PEPPERDINE,PEPPERDINE
PITTSBURGH,PITTSBURGH
PORTLAND-STATE,PORTLAND-STATE
PORTLAND,PORTLAND
PRAIRIE-VIEW,PRAIRIE-VIEW
PRESBYTERIAN,PRESBYTERIAN
PRINCETON,PRINCETON
PROVIDENCE,PROVIDENCE
PURDUE,PURDUE
QUINNIPIAC,QUINNIPIAC
RADFORD,RADFORD
RHODE-ISLAND,RHODE-ISLAND
RICE,RICE
RICHMOND,RICHMOND
RIDER,RIDER
ROBERT-MORRIS,ROBERT-MORRIS
RUTGERS,RUTGERS
SACRAMENTO-STATE,SACRAMENTO-STATE
SACRED-HEART,SACRED-HEART
SAINT-FRANCIS-PA,SAINT-FRANCIS-PA
SAINT-JOSEPHS,SAINT-JOSEPHS
SAINT-LOUIS,SAINT-LOUIS
SAINT-MARYS-CA,SAINT-MARYS-CA
SAINT-PETERS,SAINT-PETERS
SAM-HOUSTON-STATE,SAM-HOUSTON-STATE
SAMFORD,SAMFORD
SAN-DIEGO-STATE,SAN-DIEGO-STATE
SAN-DIEGO,SAN-DIEGO
SAN-FRANCISCO,SAN-FRANCISCO
SAN-JOSE-STATE,SAN-JOSE-STATE
SANTA-CLARA,SANTA-CLARA
SEATTLE,SEATTLE
SETON-HALL,SETON-HALL
SIENA,SIENA
SOUTH-ALABAMA,SOUTH-ALABAMA
SOUTH-CAROLINA-STATE,SOUTH-CAROLINA-STATE
SOUTH-CAROLINA-UPSTATE,SOUTH-CAROLINA-UPSTATE
SOUTH-CAROLINA,SOUTH-CAROLINA
SOUTH-DAKOTA-STATE,SOUTH-DAKOTA-STATE
SOUTH-DAKOTA,SOUTH-DAKOTA
SOUTH-FLORIDA,SOUTH-FLORIDA
SOUTHEAST-MISSOURI-STATE,SOUTHEAST-MISSOURI-STATE
SOUTHEASTERN-LOUISIANA,SOUTHEASTERN-LOUISIANA
